"","id","eid","startX","startY","endX","endY","time","success","distance","angle","boxSize","w"
"181",3,1,335,56,455,582,484,TRUE,539.5145967,"77.14866216",112,114.877632747081
"182",3,1,455,582,193,1011,534,TRUE,502.6778292,"121.4133559",112,131.235237468132
"183",3,1,193,1011,116,458,517,TRUE,558.3350249,"-97.92692668",112,113.080511366696
"184",3,1,116,458,429,49,432,TRUE,515.0242713,"-52.57385013",112,141.033541277616
"185",3,1,429,49,898,817,645,TRUE,899.8805476,"58.58854399",112,131.232579862476
"186",3,1,898,817,6,1027,615,TRUE,916.3863814,"166.7523199",112,NA
"187",3,1,6,1027,825,569,751,TRUE,938.3629362,"-29.21473059",112,NA
"188",3,1,825,569,45,1006,607,TRUE,894.0743817,"150.7399909",112,NA
"189",3,1,45,1006,83,109,611,TRUE,897.8045444,"-87.57420451",112,112.100455937806
"190",3,2,365,613,685,232,679,TRUE,497.5550221,"-49.97326771",220,287.302112488863
"191",3,2,685,232,159,143,577,TRUE,533.476335,"-170.396425",220,NA
"192",3,2,159,143,417,665,680,TRUE,582.278284,"63.6989828",220,245.404640759775
"193",3,2,417,665,52,1020,639,TRUE,509.1659847,"135.7957236",220,NA
"194",3,2,52,1020,434,720,582,TRUE,485.720084,"-38.14397594",220,NA
"195",3,2,434,720,757,1014,753,TRUE,436.766528,"42.30898595",220,NA
"196",3,2,757,1014,39,595,698,TRUE,831.315223,"-149.7336406",220,NA
"197",3,2,39,595,735,1106,837,TRUE,863.4448448,"36.2859442",220,NA
"198",3,2,735,1106,355,352,700,TRUE,844.343532,"-116.7471346",220,246.360181745439
"199",3,2,355,352,269,1175,749,TRUE,827.4811176,"95.96551496",220,221.19786861975
"200",3,2,269,1175,795,491,917,TRUE,862.8626774,"-52.43950517",220,277.528931318186
"201",3,2,795,491,687,37,1062,TRUE,466.6690476,"-103.3811228",112,115.125403816416
"202",3,2,687,37,134,82,1029,TRUE,554.8279012,"175.3478452",112,NA
"203",3,2,134,82,577,447,549,TRUE,573.9982578,"39.48605745",112,NA
"204",3,2,577,447,349,886,750,TRUE,494.6766621,"117.4456584",112,126.204524264719
